tanggal,nama,jenis
2026-01-01,Tahun Baru Masehi,libur nasional
2026-01-16,Isra Miraj Nabi Muhammad SAW,libur nasional
2026-02-17,Tahun Baru Imlek 2577 Kongzili,libur nasional
2026-03-19,Hari Suci Nyepi Tahun Baru Saka 1948,libur nasional
2026-03-20,Cuti Bersama Hari Suci Nyepi Tahun Baru Saka 1948,cuti bersama
2026-03-21,Idul Fitri 1447 H,libur nasional
2026-03-22,Idul Fitri 1447 H,libur nasional
2026-03-23,Cuti Bersama Idul Fitri 1447 H,cuti bersama
2026-03-24,Cuti Bersama Idul Fitri 1447 H,cuti bersama
2026-04-03,Wafat Yesus Kristus,libur nasional
2026-04-05,Kebangkitan Yesus Kristus (Paskah),libur nasional
2026-05-01,Hari Buruh Internasional,libur nasional
2026-05-14,Kenaikan Yesus Kristus,libur nasional
2026-05-15,Cuti Bersama Kenaikan Yesus Kristus,cuti bersama
2026-05-27,Hari Raya Idul Adha 1447 H,libur nasional
2026-05-28,Cuti Bersama Hari Raya Idul Adha 1447 H,cuti bersama
2026-05-31,Hari Raya Waisak 2570 BE,libur nasional
2026-06-01,Hari Lahir Pancasila,libur nasional
2026-06-16,Tahun Baru Islam 1448 H,libur nasional
2026-08-17,Hari Kemerdekaan Republik Indonesia,libur nasional
2026-08-25,Maulid Nabi Muhammad SAW,libur nasional
2026-12-24,Cuti Bersama Hari Raya Natal,cuti bersama
2026-12-25,Hari Raya Natal,libur nasional
